disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,var.FT,var.SA,var.SB,var.SC,var.SD,var.SE,var.SF,var.SG,var.SH,var.SJ,var.SK,var.SL,var.SM,var.SN,var.SO,var.H,var.P,var.R,var.1,var.2,var.3,var.4,var.5,response
1,SC,19,1,P,1,500,3,1,31,5,10,10,156,0.378087482,28.35546875,1,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,SB,22,3,P,1,3450,2,2,25,1,2,11,433,0.111979454,53.484375,1,2,3809,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,SO,29,1,R,1,550,8,1,43,15,0,12,1,0.209901922,60.078125,2,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
1,SD,18,0,P,1,200,5,1,0,15,2,53,0,0.024618474,55.578125,1,0,0,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SO,23,1,P,1,1750,29,1,0,10,3,13,0,0.032595161,40.953125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,SA,19,0,P,1,150,9,2,0,7,3,23,0,0.098250776,83.9375,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1,SB,20,1,P,1,1300,28,1,0,15,15,7,31,0.065083901,64.1875,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,SC,36,1,H,1,4700,17,1,105,27,1,8,124,0.027851643,80.25,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0,SA,30,0,R,3,200,14,2,1,0,0,8,372,0,2.841796875,1,0,275,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,SC,20,1,P,1,750,2,1,271,1,0,13,0,0.203831313,72.171875,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
