"","app_id","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"11829",5902,0,"SB",19,1.56,"R",1.18,292.5,20.48,1.01,53.7033333333333,7.28,0.92,14.286,319.7,0,51.2869921875,1,0,117.64,5,1
"11830",5883,0,"SA",18,1,"P",1,50,4,1.02,38.53,10.7466666666667,0,16.225,63,0.0695291532,64.578125,1.02,0,-5.5365489970427e-13,5,-1
"11831",5900,0,"SC",19,1,"P",1.46,50,12,4,0,8.84666666666667,1,4,455.82,0.0267930616,85.6875,1,4,0,3,-1
"11832",5842,0,"SA",24,1,"P",1.25,950,35,1,30.4,0,0,8,553.04,0.0930897978,85.109375,1,1,880,3,-1
"11833",5782,0,"SO",19,1,"P",1.2,241.5,7,1.02,40,25,1,9,55.905,0.1698816917,75.65625,1.02,0,0.74999999999944,5,-1
"11834",5880,0,"SO",19,1,"P",1.22,500,10,1,0,13,1,9,0,0.1120416566,61.375,1.04,1,0,3,-1
"11835",5718,0,"SB",18,1,"P",1,497,2,1.01,6.07,13,0,12,107.01,0.0854175298,62.515625,1,0,4.11999999999986,5,1
"11836",5845,0,"SH",18,1,"P",1.18,472.5,14.2975,1.06,8.74,11,0.07,13,117.38,0.0789050383,52.609375,1.04,0,0.119999999999341,5,-1
"11837",5925,0,"SO",18,1,"P",1.21,206.5,7,2,29.025,11,0,19,151.14,0.3102549501,62.5625,1,2,0,3,-1
"11838",5797,0,"SO",19,1,"P",1,250,4,1.07,53.61,11,0,19,186,0.0384771406,67.25,1,0,47.9266666666666,5,0
"11839",5786,0,"SC",18,1,"P",1.31,313.333333333333,56,1,53.58,11.31,0.0807692307692308,21,221.43,0,47.59375,1,1,0,3,-1
"11840",5834,660,"SC",20,0,"P",1.26,850,10,4,45,18,2,22,1,0,68.734375,1.05,1,0,3,-1
"11841",5754,0,"SK",28,1,"P",1.64,2227,42,3,93.81,24,10,24,1245.4,0,34.3984375,1,2,0,3,-1
"11842",5785,0,"SO",19,1,"P",1.22,254,26,1,40.19,23,1.07,24,238.015,0.1626198897,68.5,1.01,1,0,3,-1
"11843",5861,0,"SL",19,1,"P",1.28,832.25,32,1,37.14,27,1,31,523.27,0.019138773,99,1.04,1,0,3,-1
"11844",5804,0,"SB",18,1,"P",1.1,272.642857142857,10.56,1.18,66.33,10,0,41,159.096666666667,0.1851072181,40.796875,1.26,0,9.84999999999956,5,4
"11845",5759,0,"SK",20,1,"R",1.28,600.5,21.84,1.26,42.98,6.16,0.89,10.49,509.25,0.4508618116,33.8671875,1.04,0,16.4199999999997,5,-1
"11846",5775,0,"FT",32,1.01,"R",1.24,794.5,27.69,1.31,57.61,2.83,1.11,4.45,765.73,0,40.13419921875,1.06,0,15.6099999999997,4,-1
"11847",5868,0,"FT",23,1.79,"R",1.24,937.75,25.39,1.18,19.56,2.79,1.09,5.18,686.64,0,47.32435546875,1.02,0,17.7199999999997,4,-1
"11848",5914,0,"SA",18,1,"P",1.22,293.388888888889,23.19,1.01,47.3125,15.1038888888889,0,21.3633333333333,201.35,0.323256935,79.609375,1.05,0,-5.8179239204037e-13,5,-1
