"","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","var.FT","var.SA","var.SB","var.SC","var.SD","var.SE","var.SF","var.SG","var.SH","var.SJ","var.SK","var.SL","var.SM","var.SN","var.SO","var.H","var.P","var.R","var.1","var.2","var.3","var.4","var.5","response"
"127",0,"SL",22,5,"P",1,700,1,1,1,23,0,33,1,0.1289645131,61.296875,2,1,275,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"130",0,"SO",24,1,"P",1,250,52,1,14,11,5,24,1892,0,44.265625,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"131",0,"SO",18,1,"P",1,300,39,1,136,19,2,24,157,0.0531248706,74.8125,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
"133",0,"SC",18,0,"P",1,250,7,1,0,23,5,76,0,0.1067583885,67.328125,1,0,0,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"135",0,"SC",20,2,"P",1,6000,6,2,30,14,2,29,805,0.1214747704,64.234375,2,1,1950,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"138",0,"SC",18,0,"P",1,150,7,1,0,1,1,11,1,0,53.1015625,2,0,0,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"142",0,"SC",20,1,"R",1,300,8,1,1,5,1,21,0,0.2206156091,37.4609375,2,0,21,5,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"145",1,"SD",23,1,"P",1,450,5,1,0,12,0,23,1055,0,28.2265625,1,0,0,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"147",300,"SK",21,1,"R",1,50,6,1,0,16,0,9,1,0.0087860486,47.2421875,1,0,114,5,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
"148",1,"SO",23,0,"R",1,2800,2,3,0,6,1,21,92,0.3126287283,51.4375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"149",0,"SA",23,4,"P",1,950,32,4,0,13,6,12,61,0.1053873827,47.828125,1,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"150",260,"SO",19,0,"R",1,200,5,1,0,15,0,7,1,0.0460027052,46.8984375,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
